Category: Arts & Entertainment,,,,,,,,,,
,1591,266,1614,9,105,678,1224,5565,1299,560
Month,Louvre Museum: (Worldwide),The British Museum: (Worldwide),The Metropolitan Museum of Art: (Worldwide),Vatican Museums: (Worldwide),Musée d'Orsay: (Worldwide),Tate Modern: (Worldwide),National Gallery of Art: (Worldwide),The Museum of Modern Art: (Worldwide),Van Gogh Museum: (Worldwide),Rijksmuseum: (Worldwide)
2004-01,18,2,8,1,1,4,19,33,8,3
2004-02,21,2,8,<1,0,5,16,44,9,4
2004-03,20,2,8,1,1,5,17,55,9,5
2004-04,20,2,8,1,0,2,17,52,8,3
2004-05,19,2,7,<1,1,3,14,48,7,3
2004-06,15,2,6,1,<1,3,15,47,7,3
2004-07,16,2,6,<1,<1,3,17,59,6,3
2004-08,15,2,6,1,1,3,14,68,5,3
2004-09,18,2,6,1,<1,3,16,74,6,3
2004-10,16,2,7,0,<1,3,14,37,4,2
2004-11,17,2,8,1,<1,4,14,93,8,3
2004-12,16,2,9,<1,<1,3,15,100,7,2
2005-01,19,2,7,<1,<1,3,16,73,6,3
2005-02,17,2,7,<1,<1,4,17,63,7,3
2005-03,18,1,7,1,1,3,18,60,7,3
2005-04,20,1,7,1,1,3,18,54,8,3
2005-05,16,1,7,<1,<1,3,15,51,7,3
2005-06,15,2,6,<1,0,3,14,48,6,3
2005-07,14,1,7,<1,0,3,12,48,7,2
2005-08,13,1,6,<1,<1,2,13,44,5,2
2005-09,13,1,6,<1,<1,3,12,46,5,2
2005-10,14,2,7,<1,<1,3,12,49,6,3
2005-11,12,1,8,<1,<1,3,13,51,6,3
2005-12,12,1,8,<1,<1,1,12,59,5,3
2006-01,14,2,7,<1,<1,2,14,52,5,3
2006-02,13,2,7,<1,<1,3,18,52,8,4
2006-03,14,2,6,<1,<1,2,15,48,12,4
2006-04,14,2,6,<1,<1,2,16,41,10,4
2006-05,21,2,6,<1,<1,2,12,36,8,3
2006-06,12,1,4,<1,<1,2,10,34,6,3
2006-07,9,1,5,<1,<1,2,10,39,4,2
2006-08,9,1,5,<1,<1,2,10,37,5,3
2006-09,9,1,5,<1,<1,3,10,37,4,2
2006-10,10,1,6,<1,<1,4,10,35,5,3
2006-11,9,1,6,<1,<1,3,10,41,5,2
2006-12,8,1,7,<1,<1,2,10,42,5,2
2007-01,8,1,6,<1,<1,2,10,38,5,2
2007-02,8,1,5,<1,<1,3,9,36,5,2
2007-03,8,1,5,<1,<1,2,9,38,5,2
2007-04,7,1,5,<1,<1,2,10,35,4,2
2007-05,7,1,5,<1,<1,2,7,30,5,2
2007-06,7,1,5,<1,<1,2,7,31,4,2
2007-07,6,1,4,<1,<1,2,6,32,4,2
2007-08,6,1,4,<1,<1,2,7,32,4,2
2007-09,6,2,5,<1,<1,2,8,31,4,2
2007-10,7,2,5,<1,<1,2,9,32,4,2
2007-11,8,2,6,<1,<1,2,9,37,4,2
2007-12,7,2,6,<1,<1,2,10,35,4,2
2008-01,7,2,5,<1,<1,2,9,33,4,2
2008-02,7,1,5,<1,<1,2,6,30,4,2
2008-03,7,1,5,<1,<1,1,7,30,5,2
2008-04,7,1,5,<1,<1,2,7,29,5,2
2008-05,7,1,6,<1,<1,2,6,29,4,1
2008-06,6,1,4,<1,<1,1,6,30,4,1
2008-07,5,1,5,<1,<1,1,7,32,4,2
2008-08,5,1,4,<1,<1,1,6,32,4,1
2008-09,6,1,4,<1,<1,2,6,29,4,2
2008-10,6,1,5,<1,<1,2,6,29,4,2
2008-11,7,1,5,<1,<1,2,7,34,4,2
2008-12,6,1,6,<1,<1,1,7,33,3,2
2009-01,6,1,4,<1,<1,1,6,26,4,2
2009-02,7,1,5,<1,<1,1,7,26,5,2
2009-03,8,1,5,<1,<1,1,7,27,5,2
2009-04,7,1,4,<1,<1,1,5,25,5,2
2009-05,9,1,5,<1,<1,1,5,24,5,2
2009-06,7,1,4,<1,<1,1,4,20,4,2
2009-07,6,1,4,<1,<1,1,4,21,4,1
2009-08,6,1,4,<1,<1,1,4,23,4,1
2009-09,7,1,4,<1,<1,1,4,20,4,1
2009-10,6,1,4,<1,<1,2,5,21,4,2
2009-11,6,1,5,<1,<1,1,5,31,4,1
2009-12,6,1,5,<1,<1,1,5,32,3,2
2010-01,6,1,4,<1,<1,1,5,31,3,1
2010-02,6,1,4,<1,<1,1,4,29,4,2
2010-03,6,1,4,<1,<1,1,6,35,4,2
2010-04,6,1,4,<1,<1,1,5,39,4,2
2010-05,6,1,6,<1,<1,1,4,28,4,1
2010-06,5,1,3,<1,<1,1,4,21,3,1
2010-07,4,1,4,<1,<1,1,4,19,3,1
2010-08,4,1,3,<1,<1,1,4,21,3,1
2010-09,5,1,4,<1,<1,1,4,20,3,1
2010-10,5,1,4,<1,<1,2,5,25,4,1
2010-11,5,1,4,<1,<1,2,5,22,3,1
2010-12,5,1,5,<1,<1,1,4,24,3,1
2011-01,5,1,4,<1,<1,1,5,22,3,1
2011-02,5,1,4,<1,<1,1,4,22,4,2
2011-03,5,1,3,<1,<1,1,5,23,4,1
2011-04,5,1,4,<1,<1,1,5,22,4,1
2011-05,5,1,7,<1,<1,1,4,21,4,1
2011-06,4,1,4,<1,<1,1,5,18,4,1
2011-07,4,1,4,<1,<1,1,5,19,4,1
2011-08,4,1,3,<1,<1,1,5,18,4,1
2011-09,4,1,3,<1,<1,1,4,22,3,1
2011-10,4,1,4,<1,<1,1,4,23,4,1
2011-11,5,1,4,<1,<1,1,6,25,4,1
2011-12,4,1,4,<1,<1,1,4,27,3,1
2012-01,5,1,4,<1,<1,1,4,21,3,1
2012-02,4,1,3,<1,<1,1,4,22,4,1
2012-03,5,1,3,<1,<1,1,4,23,4,1
2012-04,5,1,3,<1,<1,1,5,21,4,1
2012-05,4,1,9,<1,<1,1,3,19,3,1
2012-06,4,1,3,<1,<1,1,4,15,3,1
2012-07,4,1,3,<1,<1,1,4,18,3,1
2012-08,4,1,3,<1,<1,1,4,17,4,1
2012-09,4,1,3,<1,<1,1,3,19,4,1
2012-10,5,1,3,<1,<1,1,4,20,3,1
2012-11,4,1,3,<1,<1,1,3,20,3,1
2012-12,5,1,3,<1,<1,1,3,21,3,1
2013-01,4,1,3,<1,<1,1,4,21,3,1
2013-02,5,1,3,<1,<1,1,4,18,3,1
2013-03,5,1,3,<1,<1,1,5,24,3,2
2013-04,5,1,3,<1,<1,1,4,19,4,7
2013-05,4,1,17,<1,<1,1,4,19,4,4
2013-06,4,1,3,<1,<1,1,3,19,3,2
2013-07,4,1,3,<1,<1,1,4,20,4,2
2013-08,4,1,3,<1,<1,1,3,19,4,2
2013-09,4,1,3,<1,<1,1,3,20,4,2
2013-10,4,1,3,<1,<1,1,3,21,4,3
2013-11,4,1,3,<1,<1,1,4,22,3,2
2013-12,4,1,3,<1,<1,1,3,19,3,3
2014-01,4,1,3,<1,<1,1,3,18,3,2
2014-02,4,1,3,<1,<1,1,3,16,3,2
2014-03,4,1,2,<1,<1,1,3,17,3,3
2014-04,4,1,3,<1,<1,1,3,17,4,3
2014-05,4,1,21,<1,<1,1,3,16,4,2
2014-06,3,1,3,<1,<1,1,3,14,3,2
2014-07,4,1,2,<1,<1,1,3,15,4,2
2014-08,4,1,3,<1,<1,1,3,16,4,2
2014-09,3,1,2,<1,<1,1,3,21,4,2
2014-10,4,1,2,<1,<1,1,3,20,4,2
2014-11,4,1,3,<1,<1,1,3,19,3,2
2014-12,4,1,3,<1,<1,1,3,20,4,2
2015-01,4,1,2,<1,<1,1,3,21,4,3
2015-02,5,1,2,<1,<1,1,3,20,4,5
2015-03,6,1,2,<1,<1,1,3,21,5,4
2015-04,6,1,2,<1,<1,1,3,17,5,4
2015-05,6,1,42,<1,<1,1,3,17,5,3
2015-06,5,1,4,<1,<1,1,3,16,4,2
2015-07,4,1,3,<1,<1,1,3,15,5,2
2015-08,4,1,3,<1,<1,1,3,15,5,2
2015-09,5,1,3,<1,<1,1,3,17,5,2
2015-10,4,1,3,<1,<1,1,3,18,5,2
2015-11,3,1,3,<1,<1,1,3,16,4,2
2015-12,3,1,3,<1,<1,1,3,16,4,2
2016-01,3,1,2,<1,1,1,3,16,4,2
2016-02,3,1,3,<1,1,1,3,16,4,2
2016-03,4,1,3,<1,1,1,3,15,4,2
2016-04,3,1,3,<1,1,1,3,15,4,2
2016-05,4,1,43,<1,1,1,2,15,4,2
2016-06,3,1,4,<1,1,1,2,13,4,2
2016-07,3,1,3,<1,<1,1,2,13,4,2
2016-08,3,1,3,<1,<1,1,2,13,4,2
2016-09,3,1,3,<1,<1,1,2,14,4,2
2016-10,3,1,3,<1,1,1,3,15,4,2
2016-11,3,1,3,<1,1,5,3,13,4,2
2016-12,3,1,3,<1,1,2,3,13,4,2
2017-01,3,1,3,<1,1,7,3,11,4,2
2017-02,7,1,3,<1,1,10,3,10,5,2
2017-03,5,1,3,<1,1,8,3,10,5,2
2017-04,4,1,4,<1,1,7,3,9,6,2
2017-05,5,1,40,<1,1,7,2,10,5,2
2017-06,4,1,4,<1,1,6,2,11,5,2
2017-07,3,1,3,<1,1,7,2,14,6,2
2017-08,3,1,4,<1,1,6,2,13,6,2
2017-09,3,1,3,<1,1,3,2,13,5,2
2017-10,4,1,4,<1,1,1,2,15,5,3
2017-11,5,1,4,<1,1,6,3,15,5,2
2017-12,4,1,4,<1,1,7,3,17,7,2
2018-01,4,1,4,<1,1,8,3,14,7,2
2018-02,5,1,5,<1,1,8,2,13,7,2
2018-03,5,1,4,<1,1,10,3,14,8,3
2018-04,5,1,4,<1,1,10,3,13,9,3
2018-05,5,1,64,<1,1,8,3,13,9,2
2018-06,8,1,7,<1,1,8,3,12,8,2
2018-07,7,1,5,<1,1,8,3,13,8,2
2018-08,6,1,5,<1,1,9,3,13,11,2
2018-09,5,1,5,<1,1,9,2,12,7,2
2018-10,5,1,4,<1,1,11,2,13,6,2
2018-11,5,1,4,<1,1,9,2,14,7,2
2018-12,5,1,6,<1,1,8,3,15,6,2
2019-01,5,1,5,<1,1,13,2,12,8,3
2019-02,5,1,4,<1,1,15,2,14,8,4
2019-03,5,1,4,<1,1,12,3,15,11,4
2019-04,5,1,5,<1,1,4,3,13,10,3
2019-05,5,1,81,<1,1,6,3,12,8,3
2019-06,5,1,7,<1,1,4,3,11,7,3
2019-07,5,1,6,<1,1,7,2,8,8,3
2019-08,4,1,5,<1,1,19,2,7,7,3
2019-09,4,1,5,<1,1,5,2,8,6,2
2019-10,8,1,6,<1,1,7,2,12,7,3
2019-11,7,1,5,<1,1,7,2,13,6,2
2019-12,5,1,5,<1,1,7,2,12,6,2
2020-01,5,1,4,<1,1,4,2,11,6,2
2020-02,5,1,4,<1,1,4,2,10,6,3
2020-03,6,1,4,<1,1,3,2,9,6,2
2020-04,6,<1,4,<1,1,1,1,10,4,2
2020-05,4,<1,8,<1,1,1,1,8,3,2
2020-06,3,<1,3,<1,<1,1,1,6,3,1
2020-07,3,<1,3,<1,<1,<1,1,6,4,2
2020-08,3,<1,3,<1,<1,1,1,6,4,1
2020-09,3,<1,3,<1,1,2,1,8,3,1
2020-10,3,<1,2,<1,1,1,1,6,3,1
2020-11,2,<1,2,<1,<1,1,1,7,2,1
2020-12,2,<1,2,<1,<1,1,1,7,2,1
2021-01,3,<1,2,<1,<1,<1,1,6,2,1
2021-02,3,<1,2,<1,<1,1,1,6,3,1
2021-03,3,<1,2,<1,<1,1,1,7,2,1
2021-04,3,<1,26,<1,<1,1,1,6,3,1
2021-05,3,<1,3,<1,<1,3,1,7,2,1
2021-06,3,<1,2,<1,1,2,2,6,3,1
2021-07,3,<1,3,<1,<1,3,2,7,4,1
2021-08,3,<1,4,<1,<1,2,2,6,4,1
2021-09,3,<1,58,<1,<1,3,1,7,4,1
2021-10,3,1,7,<1,1,2,2,7,5,2
2021-11,4,1,5,<1,1,2,2,8,5,2
2021-12,3,<1,5,<1,1,1,2,8,3,1
2022-01,4,1,4,<1,1,2,1,7,4,2
2022-02,4,1,5,<1,1,2,1,7,5,2
2022-03,4,1,6,<1,1,2,1,10,5,2
2022-04,4,1,7,<1,1,1,1,9,7,3
2022-05,5,1,100,<1,1,1,2,9,6,2
2022-06,4,1,7,<1,1,1,2,8,6,2
2022-07,4,1,5,<1,1,1,2,8,6,2
2022-08,4,1,4,<1,1,1,1,8,6,2
2022-09,4,1,4,<1,1,1,1,8,5,2
2022-10,5,1,4,<1,1,1,2,9,8,2
2022-11,4,1,6,<1,1,1,1,7,7,2
2022-12,4,1,4,<1,1,1,2,6,6,2
2023-01,5,1,4,<1,1,3,2,6,6,3
2023-02,5,1,4,<1,1,2,1,6,6,16
2023-03,6,1,4,<1,1,3,1,8,6,10
2023-04,5,1,4,<1,1,3,2,9,7,4
2023-05,6,1,35,<1,1,2,1,9,6,4
2023-06,5,1,3,<1,1,2,1,7,6,2
2023-07,4,1,3,<1,1,2,2,6,6,2
2023-08,4,1,2,<1,1,3,2,7,6,2
2023-09,5,1,3,<1,1,4,1,8,10,2
2023-10,5,1,3,<1,1,3,1,7,10,3
2023-11,4,1,3,<1,1,2,1,6,6,2
2023-12,4,1,3,<1,1,2,1,9,6,2
2024-01,5,1,3,<1,1,2,1,8,5,2
2024-02,4,1,3,<1,1,4,1,9,6,2
2024-03,5,1,2,<1,1,4,1,10,7,3
2024-04,4,1,4,<1,1,3,1,11,6,3
2024-05,5,1,29,<1,1,2,1,10,6,2
2024-06,4,1,3,<1,1,3,1,9,6,2
2024-07,4,1,2,<1,1,3,1,9,7,2
2024-08,4,1,2,<1,1,4,1,10,7,2
2024-09,4,1,2,<1,1,2,1,10,5,2
2024-10,5,1,3,<1,1,4,1,11,5,2
2024-11,4,1,2,<1,1,2,1,12,5,2
2024-12,4,1,3,<1,1,2,1,13,5,2
2025-01,5,1,3,<1,1,2,1,11,5,2
2025-02,5,1,3,<1,1,3,1,11,6,2
2025-03,5,1,3,<1,1,3,1,11,6,2
2025-04,5,1,3,<1,1,2,1,12,6,2
2025-05,4,1,15,<1,1,3,1,11,5,2
2025-06,5,1,3,<1,1,2,1,9,5,2
2025-07,4,1,3,<1,1,2,1,10,6,2
,1591,266,1614,9,105,678,1224,5565,1299,560
